subid,eta,beta,decay,resp_st,loglik,aic,model
5ffff3ac6fc9001772ea3312,0.7467576330065998,2.732423106759031,0.33619702826120035,0.0,-88.67824504567253,183.35649009134505,DecayFeatureRL_no_resp_st
601d4c8586c49d04ad8f6df0,0.2596700089276131,1.9949314769922395,0.31050590240072923,0.0,-140.06108782206934,286.1221756441387,DecayFeatureRL_no_resp_st
60ade46b01064a8f7aa6c325,0.13673690283421722,2.963178299429583,0.1671362117506574,0.0,-136.3916472854913,278.7832945709826,DecayFeatureRL_no_resp_st
60c93ed774816a2d8ebbf785,0.4328352442622737,1.302580232783227,0.2936685844754544,0.0,-146.72866316377787,299.45732632755573,DecayFeatureRL_no_resp_st
60fd3245706969157168ad50,0.5562487886586643,2.5402633460447,0.714603887894983,0.0,-97.90105525811559,201.80211051623118,DecayFeatureRL_no_resp_st
60ff17ba6e3322d4453de316,0.3648265060163438,1.558547864830752,0.6315349677387184,0.0,-136.3559006045113,278.7118012090226,DecayFeatureRL_no_resp_st
6100b6365a3b961d941f7071,0.37324738904182814,2.951095589968946,0.5779179249447449,0.0,-107.43772317195979,220.87544634391958,DecayFeatureRL_no_resp_st
612dc06268ffca3496416bda,0.6964013268204753,1.6560604725015429,0.3722290999057379,0.0,-125.22957485456814,256.4591497091363,DecayFeatureRL_no_resp_st
614895cb03b189f771ad1267,0.6407168086675727,1.7079441682692618,0.42899558833891394,0.0,-122.20254588100534,250.40509176201067,DecayFeatureRL_no_resp_st
62868bacaa566e62dd4a40f7,0.48295419220170044,2.2504017002019667,0.4220726824629609,0.0,-116.13667468275568,238.27334936551136,DecayFeatureRL_no_resp_st
628d14b52b5bd1d83ed1f7d2,0.5404314923828052,1.724748158236771,0.6450115528450685,0.0,-126.74499814552667,259.48999629105333,DecayFeatureRL_no_resp_st
628deac8711dee5dbda650ae,0.6006157216734453,2.429887288150373,0.7530330752090396,0.0,-93.53056276883466,193.0611255376693,DecayFeatureRL_no_resp_st
62a779f845a7840040d41bf8,0.5324146252084581,1.8458776662108005,0.7727810980135152,0.0,-123.68091224045216,253.36182448090432,DecayFeatureRL_no_resp_st
62ea3c696ff8c92834e7151a,0.6094463267316441,2.871260961916339,0.46242909868729054,0.0,-90.30392784531567,186.60785569063134,DecayFeatureRL_no_resp_st
