subid,eta,beta,decay,resp_st,loglik,aic,model
6111234ac8cfa49e38acbfb4,0.5409589762501588,1.7264577519870907,0.4869498920151264,-0.020848900244820424,-129.03700963501777,266.07401927003554,DecayFeatureRL
6142763db0841a831cf129fc,0.6794632384272825,2.0093464022374694,0.4055630277139561,-0.14719604134358952,-110.09735260556046,228.19470521112092,DecayFeatureRL
6175e05636b79082f8d345c5,0.5904597698142777,3.172042319143852,0.5128470539279415,0.018905508054413964,-82.31619928688916,172.63239857377832,DecayFeatureRL
628f0d7e3055b5d1887916c5,0.5598409513984155,1.991541982561079,0.6483745045195326,-0.27993036801747445,-114.53263197074234,237.0652639414847,DecayFeatureRL
62a0b34cbcc5987a8fa73c39,0.5454480084411746,1.6040703369216744,0.38636512087147024,-0.05619126145465818,-133.66967702824203,275.33935405648407,DecayFeatureRL
62aa28c1027ae7d68ef3571c,0.5157378713254535,1.6835830710471849,0.37450383791010444,-0.1510352177922877,-133.8775330444398,275.7550660888796,DecayFeatureRL
62fe6312269d0e4ae894297b,0.5422297245734381,2.810326522124603,0.6281387298703504,-0.16795999785636317,-97.21012382408948,202.42024764817896,DecayFeatureRL
630cc9747cb664e8a03c29f0,0.6519534304600063,2.4616539526499315,0.5358505978465465,0.008646899699880141,-96.68613268897246,201.37226537794493,DecayFeatureRL
63254db937c17e8e9200fd54,0.3130185873014372,1.5482580759100346,0.21673052664024722,0.009097541572474357,-145.39427646456505,298.7885529291301,DecayFeatureRL
63d83a19b8acced30d2e0d32,0.2873105124075517,1.3581937311173853,0.278933834154278,0.15966090484747572,-150.16271463233178,308.32542926466357,DecayFeatureRL
63d9f41910c61f3eb102079f,0.5516098861522392,2.600145216285081,0.5181471259245785,-0.04973965796077372,-101.36020169943436,210.7204033988687,DecayFeatureRL
63f78d9a7a3d118594efff74,0.5580160776850627,2.616531639536716,0.4694683601713399,-0.12708428922137804,-99.39895670909875,206.7979134181975,DecayFeatureRL
6400dc9f84ed19aeedc1a2cc,0.23185402784242287,2.482055920176092,0.3119911264031255,-0.10467975257529881,-134.8679360356397,277.7358720712794,DecayFeatureRL
6400e3697879c55c323f34d0,0.603828365871634,2.117630005526778,0.7112010469578304,-0.021821143293120283,-106.67089434399513,221.34178868799026,DecayFeatureRL
640feb5e49b723bcfaad6437,0.5339693582012297,2.055482827284432,0.41997299708589475,-0.10380250337773346,-118.84486549069092,245.68973098138184,DecayFeatureRL
6410e0ba81f88046afa861ca,0.37559187883639467,1.6341767306176154,0.35701916944560635,-0.14455940496894185,-138.0641643585944,284.1283287171888,DecayFeatureRL
6413665e5dec6a98797ef5ab,0.45298276358040823,1.5420810770880375,0.6926719254397982,0.03129075021379423,-132.21091467787846,272.4218293557569,DecayFeatureRL
64136da866ff27f7bf98cfe0,0.47871471540350885,2.1228123995012997,0.34494144601239846,0.03188199081234456,-124.33539382384822,256.67078764769644,DecayFeatureRL
644c34bee80856c9546c7312,0.5366519864261701,0.8544569390472148,0.41060877866636636,-0.5862217741273462,-148.2762304939203,304.5524609878406,DecayFeatureRL
647652cb5644044df439e1fb,0.615046111204825,1.3895811159632518,0.5624863130028236,-0.16564030586598524,-134.57750869006017,277.15501738012034,DecayFeatureRL
650ee1c673c788d8cffca2d3,0.4229894537476773,1.5863189795172574,0.519696551569123,-0.3564791866070736,-128.28015761283484,264.5603152256697,DecayFeatureRL
653ee1d628ced1573a58023d,0.6227200268699754,1.6118036214514577,0.5923145920831371,-0.13716316234913983,-125.47148546235809,258.9429709247162,DecayFeatureRL
6549c057c03dd7b7b3166a9d,0.5484740464455331,2.5089208252611233,0.7382614109159182,0.05745008316956836,-100.48560645905542,208.97121291811084,DecayFeatureRL
