,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,sona_id
65,53987712fdf99b68e3a45021,2,aspen,10.0,,True,False,0,False,,,aspen,2.0,1.0,10.0,2.0,1.0,53987712fdf99b68e3a45021
66,53987712fdf99b68e3a45021,2,mouse,11.0,,True,False,0,False,,,mouse,2.0,2.0,10.0,2.0,1.0,53987712fdf99b68e3a45021
67,53987712fdf99b68e3a45021,2,reef,12.0,,True,False,0,False,,,reef,2.0,3.0,10.0,2.0,1.0,53987712fdf99b68e3a45021
68,53987712fdf99b68e3a45021,2,fence,13.0,,True,False,0,False,,,fence,2.0,-3.0,10.0,2.0,1.0,53987712fdf99b68e3a45021
69,53987712fdf99b68e3a45021,2,laptop,14.0,,True,False,0,False,,,laptop,2.0,-2.0,10.0,2.0,1.0,53987712fdf99b68e3a45021
70,53987712fdf99b68e3a45021,2,plate,15.0,,True,False,0,False,,,plate,2.0,-1.0,10.0,2.0,1.0,53987712fdf99b68e3a45021
71,53987712fdf99b68e3a45021,2,napkin,16.0,,True,False,0,False,,,napkin,0.0,0.0,11.0,2.0,0.0,53987712fdf99b68e3a45021
72,53987712fdf99b68e3a45021,2,toenail,17.0,,True,False,0,False,,,toenail,0.0,1.0,11.0,2.0,0.0,53987712fdf99b68e3a45021
73,53987712fdf99b68e3a45021,2,pinecone,18.0,8.0,True,True,0,False,,,pinecone,0.0,2.0,11.0,2.0,1.0,53987712fdf99b68e3a45021
74,53987712fdf99b68e3a45021,2,almond,19.0,22.0,True,True,0,False,,,almond,0.0,3.0,11.0,2.0,1.0,53987712fdf99b68e3a45021
75,53987712fdf99b68e3a45021,2,tadpole,20.0,,True,False,0,False,,,tadpole,0.0,4.0,11.0,2.0,1.0,53987712fdf99b68e3a45021
76,53987712fdf99b68e3a45021,2,tie,21.0,,True,False,0,False,,,tie,0.0,5.0,11.0,2.0,1.0,53987712fdf99b68e3a45021
77,53987712fdf99b68e3a45021,2,crown,22.0,1.0,True,True,0,False,,,crown,0.0,-4.0,11.0,2.0,0.0,53987712fdf99b68e3a45021
78,53987712fdf99b68e3a45021,2,cigar,23.0,,True,False,0,False,,,cigar,1.0,-3.0,12.0,2.0,1.0,53987712fdf99b68e3a45021
79,53987712fdf99b68e3a45021,2,llama,24.0,,True,False,0,False,,,llama,1.0,-2.0,12.0,2.0,1.0,53987712fdf99b68e3a45021
80,53987712fdf99b68e3a45021,2,purse,25.0,,True,False,0,False,,,purse,1.0,-1.0,12.0,2.0,1.0,53987712fdf99b68e3a45021
81,53987712fdf99b68e3a45021,2,piano,26.0,,True,False,0,False,,,piano,1.0,0.0,12.0,2.0,0.0,53987712fdf99b68e3a45021
82,53987712fdf99b68e3a45021,2,fern,27.0,12.0,True,True,0,False,,,fern,1.0,1.0,12.0,2.0,1.0,53987712fdf99b68e3a45021
83,53987712fdf99b68e3a45021,2,leaf,28.0,,True,False,0,False,,,leaf,1.0,-1.0,12.0,2.0,0.0,53987712fdf99b68e3a45021
84,53987712fdf99b68e3a45021,2,lighter,29.0,,True,False,0,False,,,lighter,3.0,0.0,13.0,2.0,0.0,53987712fdf99b68e3a45021
85,53987712fdf99b68e3a45021,2,berry,30.0,16.0,True,True,0,False,,,berry,3.0,1.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
86,53987712fdf99b68e3a45021,2,boot,31.0,17.0,True,True,0,False,,,boot,3.0,2.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
87,53987712fdf99b68e3a45021,2,building,32.0,,True,False,0,False,,,building,3.0,3.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
88,53987712fdf99b68e3a45021,2,faucet,33.0,,True,False,0,False,,,faucet,3.0,4.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
89,53987712fdf99b68e3a45021,2,hook,34.0,,True,False,0,False,,,hook,3.0,-3.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
90,53987712fdf99b68e3a45021,2,seal,35.0,,True,False,0,False,,,seal,3.0,-2.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
91,53987712fdf99b68e3a45021,2,bee,36.0,,True,False,0,False,,,bee,3.0,-1.0,13.0,2.0,1.0,53987712fdf99b68e3a45021
92,53987712fdf99b68e3a45021,2,tape,37.0,18.0,True,True,0,False,,,tape,1.0,0.0,14.0,2.0,0.0,53987712fdf99b68e3a45021
93,53987712fdf99b68e3a45021,2,clam,38.0,11.0,True,True,0,False,,,clam,1.0,1.0,14.0,2.0,1.0,53987712fdf99b68e3a45021
94,53987712fdf99b68e3a45021,2,comb,39.0,9.0,True,True,0,False,,,comb,1.0,2.0,14.0,2.0,1.0,53987712fdf99b68e3a45021
95,53987712fdf99b68e3a45021,2,skate,40.0,,True,False,0,False,,,skate,1.0,3.0,14.0,2.0,1.0,53987712fdf99b68e3a45021
96,53987712fdf99b68e3a45021,2,tomato,41.0,,True,False,0,False,,,tomato,1.0,-2.0,14.0,2.0,1.0,53987712fdf99b68e3a45021
97,53987712fdf99b68e3a45021,2,kangaroo,42.0,13.0,True,True,0,False,,,kangaroo,1.0,-1.0,14.0,2.0,1.0,53987712fdf99b68e3a45021
98,53987712fdf99b68e3a45021,2,fig,43.0,,True,False,0,False,,,fig,2.0,0.0,15.0,2.0,0.0,53987712fdf99b68e3a45021
99,53987712fdf99b68e3a45021,2,cliff,44.0,,True,False,0,False,,,cliff,2.0,1.0,15.0,2.0,1.0,53987712fdf99b68e3a45021
100,53987712fdf99b68e3a45021,2,oyster,45.0,10.0,True,True,0,False,,,oyster,2.0,2.0,15.0,2.0,1.0,53987712fdf99b68e3a45021
101,53987712fdf99b68e3a45021,2,sail,46.0,6.0,True,True,0,False,,,sail,2.0,3.0,15.0,2.0,1.0,53987712fdf99b68e3a45021
102,53987712fdf99b68e3a45021,2,flamingo,47.0,,True,False,0,False,,,flamingo,2.0,-3.0,15.0,2.0,1.0,53987712fdf99b68e3a45021
103,53987712fdf99b68e3a45021,2,girl,48.0,5.0,True,True,0,False,,,girl,2.0,-2.0,15.0,2.0,1.0,53987712fdf99b68e3a45021
104,53987712fdf99b68e3a45021,2,bear,49.0,7.0,True,True,0,False,,,bear,2.0,-1.0,15.0,2.0,1.0,53987712fdf99b68e3a45021
105,53987712fdf99b68e3a45021,2,sheep,50.0,,True,False,0,False,,,sheep,3.0,0.0,16.0,2.0,0.0,53987712fdf99b68e3a45021
106,53987712fdf99b68e3a45021,2,orange,51.0,15.0,True,True,0,False,,,orange,3.0,1.0,16.0,2.0,0.0,53987712fdf99b68e3a45021
107,53987712fdf99b68e3a45021,2,coin,52.0,,True,False,0,False,,,coin,3.0,2.0,16.0,2.0,1.0,53987712fdf99b68e3a45021
108,53987712fdf99b68e3a45021,2,truck,53.0,,True,False,0,False,,,truck,3.0,3.0,16.0,2.0,1.0,53987712fdf99b68e3a45021
109,53987712fdf99b68e3a45021,2,deer,54.0,4.0,True,True,0,False,,,deer,3.0,-3.0,16.0,2.0,1.0,53987712fdf99b68e3a45021
110,53987712fdf99b68e3a45021,2,safe,55.0,,True,False,0,False,,,safe,3.0,-2.0,16.0,2.0,1.0,53987712fdf99b68e3a45021
111,53987712fdf99b68e3a45021,2,shed,56.0,,True,False,0,False,,,shed,3.0,-1.0,16.0,2.0,1.0,53987712fdf99b68e3a45021
112,53987712fdf99b68e3a45021,2,pen,,14.0,False,True,0,True,1.0,42.0,pen,3.0,-1.0,6.0,1.0,1.0,53987712fdf99b68e3a45021
113,53987712fdf99b68e3a45021,2,glove,,21.0,False,True,0,True,,,glove,3.0,2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
114,53987712fdf99b68e3a45021,3,garage,1.0,,True,False,0,False,,,garage,0.0,0.0,17.0,3.0,0.0,53987712fdf99b68e3a45021
115,53987712fdf99b68e3a45021,3,emu,2.0,,True,False,0,False,,,emu,0.0,1.0,17.0,3.0,0.0,53987712fdf99b68e3a45021
116,53987712fdf99b68e3a45021,3,school,3.0,,True,False,0,False,,,school,0.0,2.0,17.0,3.0,1.0,53987712fdf99b68e3a45021
117,53987712fdf99b68e3a45021,3,rabbit,4.0,,True,False,0,False,,,rabbit,0.0,3.0,17.0,3.0,1.0,53987712fdf99b68e3a45021
118,53987712fdf99b68e3a45021,3,volcano,5.0,,True,False,0,False,,,volcano,0.0,-2.0,17.0,3.0,1.0,53987712fdf99b68e3a45021
119,53987712fdf99b68e3a45021,3,tooth,6.0,8.0,True,True,0,False,,,tooth,0.0,-1.0,17.0,3.0,1.0,53987712fdf99b68e3a45021
120,53987712fdf99b68e3a45021,3,easel,7.0,7.0,True,True,0,False,,,easel,3.0,0.0,18.0,3.0,0.0,53987712fdf99b68e3a45021
121,53987712fdf99b68e3a45021,3,bus,8.0,,True,False,0,False,,,bus,3.0,1.0,18.0,3.0,1.0,53987712fdf99b68e3a45021
122,53987712fdf99b68e3a45021,3,plum,9.0,,True,False,0,False,,,plum,3.0,2.0,18.0,3.0,1.0,53987712fdf99b68e3a45021
123,53987712fdf99b68e3a45021,3,scooter,10.0,,True,False,0,False,,,scooter,3.0,3.0,18.0,3.0,1.0,53987712fdf99b68e3a45021
124,53987712fdf99b68e3a45021,3,canyon,11.0,,True,False,0,False,,,canyon,3.0,-3.0,18.0,3.0,0.0,53987712fdf99b68e3a45021
125,53987712fdf99b68e3a45021,3,doll,12.0,,True,False,0,False,,,doll,3.0,-2.0,18.0,3.0,0.0,53987712fdf99b68e3a45021
126,53987712fdf99b68e3a45021,3,nectarine,13.0,,True,False,0,False,,,nectarine,3.0,-1.0,18.0,3.0,1.0,53987712fdf99b68e3a45021
127,53987712fdf99b68e3a45021,3,panda,14.0,,True,False,0,False,,,panda,1.0,0.0,19.0,3.0,0.0,53987712fdf99b68e3a45021
128,53987712fdf99b68e3a45021,3,belt,15.0,,True,False,0,False,,,belt,1.0,1.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
129,53987712fdf99b68e3a45021,3,rake,16.0,,True,False,0,False,,,rake,1.0,2.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
130,53987712fdf99b68e3a45021,3,acorn,17.0,12.0,True,True,0,False,,,acorn,1.0,3.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
131,53987712fdf99b68e3a45021,3,soap,18.0,10.0,True,True,0,False,,,soap,1.0,4.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
132,53987712fdf99b68e3a45021,3,alligator,19.0,,True,False,0,False,,,alligator,1.0,-3.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
133,53987712fdf99b68e3a45021,3,radish,20.0,,True,False,0,False,,,radish,1.0,-2.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
134,53987712fdf99b68e3a45021,3,pebble,21.0,,True,False,0,False,,,pebble,1.0,-1.0,19.0,3.0,1.0,53987712fdf99b68e3a45021
135,53987712fdf99b68e3a45021,3,toad,22.0,,True,False,0,False,,,toad,2.0,0.0,20.0,3.0,0.0,53987712fdf99b68e3a45021
136,53987712fdf99b68e3a45021,3,finch,23.0,,True,False,0,False,,,finch,2.0,1.0,20.0,3.0,1.0,53987712fdf99b68e3a45021
137,53987712fdf99b68e3a45021,3,tray,24.0,13.0,True,True,0,False,,,tray,2.0,2.0,20.0,3.0,1.0,53987712fdf99b68e3a45021
138,53987712fdf99b68e3a45021,3,muffin,25.0,,True,False,0,False,,,muffin,2.0,3.0,20.0,3.0,1.0,53987712fdf99b68e3a45021
139,53987712fdf99b68e3a45021,3,asparagus,26.0,19.0,True,True,0,False,,,asparagus,2.0,-2.0,20.0,3.0,1.0,53987712fdf99b68e3a45021
140,53987712fdf99b68e3a45021,3,fox,27.0,,True,False,0,False,,,fox,2.0,-1.0,20.0,3.0,1.0,53987712fdf99b68e3a45021
141,53987712fdf99b68e3a45021,3,grape,28.0,6.0,True,True,0,False,,,grape,1.0,0.0,21.0,3.0,0.0,53987712fdf99b68e3a45021
142,53987712fdf99b68e3a45021,3,cage,29.0,,True,False,0,False,,,cage,1.0,1.0,21.0,3.0,0.0,53987712fdf99b68e3a45021
143,53987712fdf99b68e3a45021,3,leopard,30.0,,True,False,0,False,,,leopard,1.0,2.0,21.0,3.0,1.0,53987712fdf99b68e3a45021
144,53987712fdf99b68e3a45021,3,sauna,31.0,,True,False,0,False,,,sauna,1.0,3.0,21.0,3.0,0.0,53987712fdf99b68e3a45021
145,53987712fdf99b68e3a45021,3,sheet,32.0,11.0,True,True,0,False,,,sheet,1.0,4.0,21.0,3.0,0.0,53987712fdf99b68e3a45021
146,53987712fdf99b68e3a45021,3,moon,33.0,,True,False,0,False,,,moon,1.0,-4.0,21.0,3.0,1.0,53987712fdf99b68e3a45021
147,53987712fdf99b68e3a45021,3,hangar,34.0,,True,False,0,False,,,hangar,1.0,-3.0,21.0,3.0,0.0,53987712fdf99b68e3a45021
148,53987712fdf99b68e3a45021,3,phone,35.0,16.0,True,True,0,False,,,phone,3.0,-2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
149,53987712fdf99b68e3a45021,3,pond,36.0,4.0,True,True,0,False,,,pond,3.0,-1.0,22.0,3.0,1.0,53987712fdf99b68e3a45021
150,53987712fdf99b68e3a45021,3,knife,37.0,9.0,True,True,0,False,,,knife,3.0,0.0,22.0,3.0,0.0,53987712fdf99b68e3a45021
