,subject,list,item,input,output,study,recall,repeat,intrusion,prior_list,prior_input,word,corr_rule_numeric,rel_subj_boundary,block,run,points,subid,recalled
65,53987712fdf99b68e3a45021,2,cliff,44.0,,True,False,0,False,,,cliff,2.0,1.0,15.0,2.0,1.0,53987712fdf99b68e3a45021,False
66,53987712fdf99b68e3a45021,2,coin,52.0,,True,False,0,False,,,coin,3.0,2.0,16.0,2.0,1.0,53987712fdf99b68e3a45021,False
67,53987712fdf99b68e3a45021,2,comb,39.0,9.0,True,True,0,False,,,comb,1.0,2.0,14.0,2.0,1.0,53987712fdf99b68e3a45021,True
68,53987712fdf99b68e3a45021,2,couch,2.0,,True,False,0,False,,,couch,0.0,1.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,False
69,53987712fdf99b68e3a45021,2,crown,22.0,1.0,True,True,0,False,,,crown,0.0,-4.0,11.0,2.0,0.0,53987712fdf99b68e3a45021,True
70,53987712fdf99b68e3a45021,2,deer,54.0,4.0,True,True,0,False,,,deer,3.0,-3.0,16.0,2.0,1.0,53987712fdf99b68e3a45021,True
71,53987712fdf99b68e3a45021,2,faucet,33.0,,True,False,0,False,,,faucet,3.0,4.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,False
72,53987712fdf99b68e3a45021,2,fence,13.0,,True,False,0,False,,,fence,2.0,-3.0,10.0,2.0,1.0,53987712fdf99b68e3a45021,False
73,53987712fdf99b68e3a45021,2,fern,27.0,12.0,True,True,0,False,,,fern,1.0,1.0,12.0,2.0,1.0,53987712fdf99b68e3a45021,True
74,53987712fdf99b68e3a45021,2,fig,43.0,,True,False,0,False,,,fig,2.0,0.0,15.0,2.0,0.0,53987712fdf99b68e3a45021,False
75,53987712fdf99b68e3a45021,2,flamingo,47.0,,True,False,0,False,,,flamingo,2.0,-3.0,15.0,2.0,1.0,53987712fdf99b68e3a45021,False
76,53987712fdf99b68e3a45021,2,girl,48.0,5.0,True,True,0,False,,,girl,2.0,-2.0,15.0,2.0,1.0,53987712fdf99b68e3a45021,True
77,53987712fdf99b68e3a45021,2,glove,,21.0,False,True,0,True,,,glove,3.0,2.0,22.0,3.0,1.0,53987712fdf99b68e3a45021,False
78,53987712fdf99b68e3a45021,2,harmonica,4.0,3.0,True,True,0,False,,,harmonica,0.0,3.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,True
79,53987712fdf99b68e3a45021,2,hook,34.0,,True,False,0,False,,,hook,3.0,-3.0,13.0,2.0,1.0,53987712fdf99b68e3a45021,False
80,53987712fdf99b68e3a45021,2,hotdog,5.0,2.0,True,True,0,False,,,hotdog,0.0,4.0,9.0,2.0,1.0,53987712fdf99b68e3a45021,True
81,53987712fdf99b68e3a45021,2,kangaroo,42.0,13.0,True,True,0,False,,,kangaroo,1.0,-1.0,14.0,2.0,1.0,53987712fdf99b68e3a45021,True
